user_uuid;course_uuid;particion;nota_final_media;nota_final_mediana;nota_final_varianza;nota_parcial_media;nota_parcial_mediana;nota_parcial_varianza;score_media;score_mediana;score_varianza;frecuencia_tareas;frecuencia_examenes;s_created_at;s_submitted_at;nota_final_materia;tiempo_entrega
01103370-3046-4bc0-a8f8-85858ec0ec88;2dd2ca01-a672-4eca-aca7-6fbc8cd01953;26;7.0;7.0;0.0;2.0;2.0;0.4418840331110085;10.0;10.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-04-09 11:28:38;7.0;114
01103370-3046-4bc0-a8f8-85858ec0ec88;2dd2ca01-a672-4eca-aca7-6fbc8cd01953;31;7.0;7.0;0.0;2.0;2.0;0.4418840331110085;10.0;10.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-04-16 20:00:20;7.0;107
01103370-3046-4bc0-a8f8-85858ec0ec88;2dd2ca01-a672-4eca-aca7-6fbc8cd01953;36;7.0;7.0;0.0;2.0;2.0;0.4418840331110085;10.0;10.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-04-25 17:33:35;7.0;98
01103370-3046-4bc0-a8f8-85858ec0ec88;2dd2ca01-a672-4eca-aca7-6fbc8cd01953;49;7.0;7.0;0.0;2.6375;2.7;0.25229166666666675;8.725;8.6;1.009166666666667;4;4;2022-08-01 22:27:07;2022-05-16 15:38:49;7.0;77
01103370-3046-4bc0-a8f8-85858ec0ec88;a8c25bca-c5e5-4225-b51e-f61468d20386;28;9.0;9.0;0.0;4.0;4.0;0.4418840331110085;10.0;10.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-06-02 23:37:37;9.0;59
01103370-3046-4bc0-a8f8-85858ec0ec88;a8c25bca-c5e5-4225-b51e-f61468d20386;35;9.0;9.0;0.0;4.0;4.0;0.4418840331110085;10.0;10.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-06-14 12:11:03;9.0;48
01103370-3046-4bc0-a8f8-85858ec0ec88;a8c25bca-c5e5-4225-b51e-f61468d20386;47;9.0;9.0;0.0;4.0;4.0;0.4418840331110085;10.0;10.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-07-02 21:12:00;9.0;30
01103370-3046-4bc0-a8f8-85858ec0ec88;a8c25bca-c5e5-4225-b51e-f61468d20386;54;9.0;9.0;0.0;4.85;4.85;0.4418840331110085;8.3;8.3;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-07-15 00:54:11;9.0;17
01103370-3046-4bc0-a8f8-85858ec0ec88;a8c25bca-c5e5-4225-b51e-f61468d20386;55;9.0;9.0;0.0;4.75;4.65;0.21000000000000013;8.5;8.7;0.8400000000000005;3;3;2022-08-01 22:27:07;2022-07-16 12:24:01;9.0;16
01103370-3046-4bc0-a8f8-85858ec0ec88;bf8d7a98-903d-4dea-b4d2-275394aa0a06;16;8.0;8.0;0.0;3.0;3.0;0.4418840331110085;10.0;10.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-04-07 21:04:26;8.0;116
01103370-3046-4bc0-a8f8-85858ec0ec88;bf8d7a98-903d-4dea-b4d2-275394aa0a06;23;8.0;8.0;0.0;3.0;3.0;0.4418840331110085;10.0;10.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-04-16 19:55:57;8.0;107
01103370-3046-4bc0-a8f8-85858ec0ec88;bf8d7a98-903d-4dea-b4d2-275394aa0a06;30;8.0;8.0;0.0;3.4500000000000006;3.2;0.30200000000000016;9.1;9.6;1.2079999999999997;6;6;2022-08-01 22:27:07;2022-04-25 17:30:43;8.0;98
01103370-3046-4bc0-a8f8-85858ec0ec88;bf8d7a98-903d-4dea-b4d2-275394aa0a06;41;8.0;8.0;0.0;7.0;7.0;0.4418840331110085;7.4;7.4;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-05-09 22:04:04;8.0;84
01103370-3046-4bc0-a8f8-85858ec0ec88;d17e238c-c4c6-40d7-8085-801268d6d723;27;9.0;9.0;0.0;4.0;4.0;0.4418840331110085;10.0;10.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-06-02 23:42:52;9.0;59
01103370-3046-4bc0-a8f8-85858ec0ec88;d17e238c-c4c6-40d7-8085-801268d6d723;35;9.0;9.0;0.0;4.0;4.0;0.4418840331110085;10.0;10.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-06-14 12:14:20;9.0;48
01103370-3046-4bc0-a8f8-85858ec0ec88;d17e238c-c4c6-40d7-8085-801268d6d723;47;9.0;9.0;0.0;4.0;4.0;0.4418840331110085;10.0;10.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-07-02 21:15:39;9.0;30
01103370-3046-4bc0-a8f8-85858ec0ec88;d17e238c-c4c6-40d7-8085-801268d6d723;55;9.0;9.0;0.0;4.8999999999999995;4.75;0.5;8.200000000000001;8.5;2.000000000000001;6;6;2022-08-01 22:27:07;2022-07-16 13:30:30;9.0;16
01103370-3046-4bc0-a8f8-85858ec0ec88;e1b3a8df-6ed2-45b9-b623-58037efe9b98;14;10.0;10.0;0.0;5.0;5.0;0.0;10.0;10.0;0.0;4;4;2022-08-01 22:27:07;2022-04-08 20:34:43;10.0;115
01103370-3046-4bc0-a8f8-85858ec0ec88;ef072dc2-cf38-4330-a10b-1786cd20da44;17;7.0;7.0;0.0;2.0;2.0;0.4418840331110085;10.0;10.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-04-09 11:24:43;7.0;114
01103370-3046-4bc0-a8f8-85858ec0ec88;ef072dc2-cf38-4330-a10b-1786cd20da44;20;7.0;7.0;0.0;2.0;2.0;0.4418840331110085;10.0;10.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-04-16 19:52:12;7.0;107
01103370-3046-4bc0-a8f8-85858ec0ec88;ef072dc2-cf38-4330-a10b-1786cd20da44;21;7.0;7.0;0.0;7.0;7.0;0.4418840331110085;7.0;7.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-04-18 22:10:38;7.0;105
01103370-3046-4bc0-a8f8-85858ec0ec88;ef072dc2-cf38-4330-a10b-1786cd20da44;38;7.0;7.0;0.0;5.1;5.1;0.4418840331110085;3.8;3.8;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-05-29 23:00:41;7.0;63
01103370-3046-4bc0-a8f8-85858ec0ec88;ef072dc2-cf38-4330-a10b-1786cd20da44;44;7.0;7.0;0.0;2.0;2.0;0.4418840331110085;10.0;10.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-06-14 12:06:37;7.0;48
01103370-3046-4bc0-a8f8-85858ec0ec88;ef072dc2-cf38-4330-a10b-1786cd20da44;52;7.0;7.0;0.0;3.5;3.5;0.4418840331110085;7.0;7.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-07-04 23:15:06;7.0;27
01193bc4-6b73-4fab-9a63-e425a2e397dd;04f8bae9-333a-4269-95b4-bde0b0965cf7;23;8.0;8.0;0.0;4.75;4.75;0.2449999999999995;6.5;6.5;0.9800000000000005;2;2;2022-08-01 22:27:07;2022-04-03 23:48:12;8.0;119
01193bc4-6b73-4fab-9a63-e425a2e397dd;04f8bae9-333a-4269-95b4-bde0b0965cf7;24;8.0;8.0;0.0;6.0;6.0;0.4418840331110085;10.0;10.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-04-06 18:56:26;8.0;117
01193bc4-6b73-4fab-9a63-e425a2e397dd;04f8bae9-333a-4269-95b4-bde0b0965cf7;39;8.0;8.0;0.0;3.0;3.0;0.4418840331110085;10.0;10.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-04-30 16:44:59;8.0;93
01193bc4-6b73-4fab-9a63-e425a2e397dd;04f8bae9-333a-4269-95b4-bde0b0965cf7;42;8.0;8.0;0.0;3.65;3.65;0.8449999999999998;8.7;8.7;3.379999999999997;2;2;2022-08-01 22:27:07;2022-05-05 21:05:37;8.0;88
01193bc4-6b73-4fab-9a63-e425a2e397dd;04f8bae9-333a-4269-95b4-bde0b0965cf7;45;8.0;8.0;0.0;4.0;4.0;0.4418840331110085;8.0;8.0;1.9161206984707064;1;1;2022-08-01 22:27:07;2022-05-10 17:36:53;8.0;83
